symbol,name,source,current_adjust,cache_file,metadata_file,cache_exists,metadata_exists,latest_cache_date,latest_expected_date,end_date_gap_days,quality_failed,primary_failure_type,adjustment_audit_status,possible_adjustment_issue,refresh_reason,refresh_priority,recommended_action,requires_backup,requires_manual_review,safe_to_auto_refresh,notes
560000,智能电车ETF浦银,akshare.fund_etf_hist_sina,unknown,data\cache\560000.csv,data\cache_meta\560000.json,True,False,2026-04-30,2026-05-15,15,False,stale_end_date,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;stale_end_date,P0_stale_end_date,pilot incremental refresh after backing up current cache and compare date coverage,True,False,True,"refresh goal is metadata traceability, not performance improvement"
159007,养殖ETF华泰柏瑞,akshare.fund_etf_hist_sina,unknown,data\cache\159007.csv,data\cache_meta\159007.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159008,证券ETF景顺,akshare.fund_etf_hist_sina,unknown,data\cache\159008.csv,data\cache_meta\159008.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159009,创业板新能源ETF易方达,akshare.fund_etf_hist_sina,unknown,data\cache\159009.csv,data\cache_meta\159009.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159013,工业互联网ETF大成,akshare.fund_etf_hist_sina,unknown,data\cache\159013.csv,data\cache_meta\159013.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159017,石油ETF工银,akshare.fund_etf_hist_sina,unknown,data\cache\159017.csv,data\cache_meta\159017.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159018,石油ETF广发,akshare.fund_etf_hist_sina,unknown,data\cache\159018.csv,data\cache_meta\159018.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159019,石油ETF华宝,akshare.fund_etf_hist_sina,unknown,data\cache\159019.csv,data\cache_meta\159019.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159020,养殖ETF易方达,akshare.fund_etf_hist_sina,unknown,data\cache\159020.csv,data\cache_meta\159020.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159022,科创创业人工智能ETF富国,akshare.fund_etf_hist_sina,unknown,data\cache\159022.csv,data\cache_meta\159022.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159026,石油ETF南方,akshare.fund_etf_hist_sina,unknown,data\cache\159026.csv,data\cache_meta\159026.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159030,粮食ETF华夏,akshare.fund_etf_hist_sina,unknown,data\cache\159030.csv,data\cache_meta\159030.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159032,工业有色ETF易方达,akshare.fund_etf_hist_sina,unknown,data\cache\159032.csv,data\cache_meta\159032.json,True,True,2026-05-13,2026-05-15,2,True,insufficient_rows,warning_unknown_adjustment,False,unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,quality gate failed; do not auto-accept refreshed data
159100,巴西ETF华夏,akshare.fund_etf_hist_sina,unknown,data\cache\159100.csv,data\cache_meta\159100.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159103,金融科技ETF汇添富,akshare.fund_etf_hist_sina,unknown,data\cache\159103.csv,data\cache_meta\159103.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159106,民企300ETF前海开源,akshare.fund_etf_hist_sina,unknown,data\cache\159106.csv,data\cache_meta\159106.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159107,创业板软件ETF富国,akshare.fund_etf_hist_sina,unknown,data\cache\159107.csv,data\cache_meta\159107.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159108,工业软件ETF博时,akshare.fund_etf_hist_sina,unknown,data\cache\159108.csv,data\cache_meta\159108.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159122,创业板新能源ETF富国,akshare.fund_etf_hist_sina,unknown,data\cache\159122.csv,data\cache_meta\159122.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159123,光伏ETF嘉实,akshare.fund_etf_hist_sina,unknown,data\cache\159123.csv,data\cache_meta\159123.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159129,化工ETF嘉实,akshare.fund_etf_hist_sina,unknown,data\cache\159129.csv,data\cache_meta\159129.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159133,化工ETF天弘,akshare.fund_etf_hist_sina,unknown,data\cache\159133.csv,data\cache_meta\159133.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159136,A50ETF广发,akshare.fund_etf_hist_sina,unknown,data\cache\159136.csv,data\cache_meta\159136.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159138,工程机械ETF易方达,akshare.fund_etf_hist_sina,unknown,data\cache\159138.csv,data\cache_meta\159138.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159139,科创创业人工智能ETF华泰柏瑞,akshare.fund_etf_hist_sina,unknown,data\cache\159139.csv,data\cache_meta\159139.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
159140,科创创业人工智能ETF易方达,akshare.fund_etf_hist_sina,unknown,data\cache\159140.csv,data\cache_meta\159140.json,True,False,2026-05-12,2026-05-15,3,True,insufficient_rows,warning_unknown_adjustment,False,legacy_cache_without_metadata;unknown_adjustment;data_quality_failed,P0_quality_failed,"manual triage quality failure, then targeted refresh only if source issue is plausible",True,True,False,"quality gate failed; do not auto-accept refreshed data; refresh goal is metadata traceability, not performance improvement"
